Tfasc_v1.11684-RA	chr8	22529579	22541002	GO:0023056,GO:0016021,GO:0010104,GO:0005794,GO:0005783	Description=protein RTE1-HOMOLOG	OG0013479	1	1	1
Tfasc_v1.11703-RA	chr8	22859078	22867366	GO:0016021,GO:0015095,GO:1903830	Description=magnesium transporter MRS2-I-like	OG0013474	1	1	1
Tfasc_v1.26941-RA	chr21	17392853	17397251	GO:0071917,GO:0015297,GO:0015120,GO:0016021,GO:0005794,GO:0015713,GO:0035436	Description=glucose-6-phosphate/phosphate translocator 2, chloroplastic-like	OG0015738	1	1	1
Tfasc_v1.06380-RA	chr4	30154630	30175305	GO:0005778,GO:0005829,GO:0005052,GO:0005515,GO:0009733,GO:0016560	Description=Peroxisome biogenesis protein 5	OG0006148	1	1	1
Tfasc_v1.22161-RA	chr17	14891835	14892558	GO:0005777,GO:0016021,GO:0080023,GO:0033542	Description=Enoyl-CoA hydratase 2, peroxisomal	OG0016186	0	3	0
Tfasc_v1.00753-RA	chr1	9607706	9609122	GO:0005777,GO:0080023,GO:0033542	Description=Enoyl-CoA hydratase 2, peroxisomal	OG0016186	0	3	0
Tfasc_v1.13574-RA	chr10	10708969	10712228	GO:0005777,GO:0016021,GO:0080023,GO:0033542	Description=Enoyl-CoA hydratase 2, peroxisomal	OG0016186	0	3	0
Tfasc_v1.16552-RA	chr12	6101704	6121393	GO:0004386,GO:0005524,GO:0046872	Description=helicase-like transcription factor CHR28 isoform X1	OG0016188	0	3	0
Tfasc_v1.22519-RA	chr17	19030822	19033313	GO:0043167	Description=helicase-like transcription factor CHR28	OG0016188	0	3	0
Tfasc_v1.08818-RA	chr6	26163568	26165992	GO:0004386,GO:0005524,GO:0046872	Description=helicase-like transcription factor CHR28	OG0016188	0	3	0
Tfasc_v1.24213-RA	chr19	2306354	2308727	GO:0005794,GO:0016021,GO:0016413	Description=protein trichome birefringence-like 26	OG0008876	1	1	0
Tfasc_v1.24214-RA	chr19	2320404	2322545	GO:0005794,GO:0016021,GO:0016413	Description=protein trichome birefringence-like 26	OG0008876	1	1	0
Tfasc_v1.02154-RA	chr2	4593583	4599837	GO:0009570,GO:0000287,GO:0004743,GO:0030955,GO:0006096,GO:0016301	Description=Pyruvate kinase isozyme G, chloroplastic	OG0013294	1	1	1
Tfasc_v1.24964-RA	chr20	223968	226683	GO:0005634,GO:0003723,GO:0051252,GO:1990904	Description=organelle RRM domain-containing protein 2, mitochondrial	OG0001498	2	2	2
Tfasc_v1.10797-RA	chr8	438162	440295	GO:0005634,GO:0003723,GO:0051252,GO:1990904	Description=organelle RRM domain-containing protein 2, mitochondrial	OG0001498	2	2	2
Tfasc_v1.24990-RA	chr20	376528	382777	GO:0005739,GO:0009507,GO:1990234,GO:0004311,GO:0046872,GO:0050347,GO:0052923,GO:0006744,GO:0008299,GO:0009793,GO:0010236	Description=solanesyl-diphosphate synthase 1, mitochondrial isoform X1	OG0001497	2	2	2
Tfasc_v1.26913-RA	chr21	17190039	17196670	GO:0005739,GO:1990234,GO:0004311,GO:0050347,GO:0052924,GO:0006744,GO:0008299,GO:0010236	Description=solanesyl-diphosphate synthase 1, mitochondrial-like isoform X1	OG0001497	2	2	2
Tfasc_v1.26921-RA	chr21	17248280	17250811	GO:0000421,GO:0005874,GO:0031410,GO:0006914,GO:0006995,GO:0015031	Description=Autophagy-related protein 8C	OG0001496	3	2	1
Tfasc_v1.24998-RA	chr20	458735	461897	GO:0000421,GO:0005856,GO:0009705,GO:0031410,GO:0005515,GO:0000045,GO:0006995,GO:0050832	Description=Autophagy-related protein 8C	OG0001496	3	2	1
Tfasc_v1.19118-RA	chr14	15786152	15786445	NA	no_blast-ips	OG0005161	1	3	1
Tfasc_v1.07405-RA	chr5	23407593	23420011	NA	Description=hypothetical protein ACMD2_22757	OG0005161	1	3	1
Tfasc_v1.02215-RA	chr2	5041919	5043023	GO:0005634,GO:0005737,GO:0004864,GO:0010427,GO:0038023,GO:0006952,GO:0009738,GO:0080163	Description=S-norcoclaurine synthase 2	OG0004781	1	2	1
Tfasc_v1.02213-RA	chr2	5030411	5031491	GO:0005634,GO:0005737,GO:0004864,GO:0010427,GO:0038023,GO:0006952,GO:0009738,GO:0080163	Description=S-norcoclaurine synthase-like	OG0004781	1	2	1
Tfasc_v1.12033-RA	chr8	26438442	26442867	GO:0016021	Description=uncharacterized protein LOC109715367	OG0019306	0	1	1
Tfasc_v1.11118-RA	chr8	3424809	3425063	GO:0016021	Description=putative ATP-synthase-associated protein	OG0019256	0	1	1
Tfasc_v1.05098-RA	chr4	2883012	2888173	GO:0016021,GO:0006629	Description=omega-6 fatty acid desaturase, chloroplastic	OG0012445	1	1	1
Tfasc_v1.21008-RA	chr16	11293432	11299039	GO:0003723	Description=RNA-binding protein 1 isoform X2	OG0016068	1	1	1
Tfasc_v1.13144-RA	chr9	26157062	26159656	GO:0009707,GO:0009658	Description=Protein CHUP1, chloroplastic	OG0013041	1	1	1
Tfasc_v1.29969-RA	chr25	615947	617932	GO:0016853	Description=Structural maintenance of chromosomes protein like	OG0009318	1	1	1
Tfasc_v1.13351-RA	chr10	2022165	2034009	GO:0005515,GO:0006355	Description=topless-related protein 1-like isoform X1	OG0005313	2	1	1
Tfasc_v1.15103-RA	chr11	4504939	4505376	GO:0046983,GO:0009741,GO:0009826	Description=transcription factor IBH1	OG0003412	1	1	1
